objective,sigma,E,flow,stock,stock_share,avg_objective_value,combined_flow_stock
learning_progress,0.0,0.0,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.16666666666666666,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.3333333333333333,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.5,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.6666666666666666,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,0.8333333333333333,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.0,1.0,1.0,1.0,0.2,0.6988057880877979,0.6
learning_progress,0.16666666666666666,0.0,0.8972120795093379,1.176,0.2352,0.6217373548925341,0.566206039754669
learning_progress,0.16666666666666666,0.16666666666666666,0.9025940674004548,1.2186666666666666,0.2437333333333333,0.6243408232846733,0.573163700366894
learning_progress,0.16666666666666666,0.3333333333333333,0.9014718173990766,1.192,0.2384,0.6250297651363702,0.5699359086995383
learning_progress,0.16666666666666666,0.5,0.9123896142525605,1.3453333333333333,0.2690666666666667,0.6278724695821657,0.5907281404596136
learning_progress,0.16666666666666666,0.6666666666666666,0.9155045617775729,1.474,0.2948,0.6267643706508225,0.6051522808887865
learning_progress,0.16666666666666666,0.8333333333333333,0.9258347856129103,1.624,0.32480000000000003,0.6316372059967775,0.6253173928064552
learning_progress,0.16666666666666666,1.0,0.9528213549575834,2.0366666666666666,0.4073333333333333,0.6414079449501114,0.6800773441454584
learning_progress,0.3333333333333333,0.0,0.7913875944778583,1.338,0.2676,0.5429637423188378,0.5294937972389292
learning_progress,0.3333333333333333,0.16666666666666666,0.7929018244083746,1.422,0.2844,0.5409141622915287,0.5386509122041874
learning_progress,0.3333333333333333,0.3333333333333333,0.7972204950657193,1.4533333333333334,0.2906666666666667,0.5445922123326162,0.543943580866193
learning_progress,0.3333333333333333,0.5,0.8108724273203215,1.734,0.3468,0.5454214108295216,0.5788362136601608
learning_progress,0.3333333333333333,0.6666666666666666,0.8310080283302642,1.978,0.3956,0.5528701948551075,0.6133040141651321
learning_progress,0.3333333333333333,0.8333333333333333,0.8508940838107855,2.25,0.45,0.5631103565717172,0.6504470419053927
learning_progress,0.3333333333333333,1.0,0.9003822010042432,2.9306666666666668,0.5861333333333334,0.5829565975412125,0.7432577671687883
learning_progress,0.5,0.0,0.6623873208195132,1.5066666666666666,0.30133333333333334,0.44779628331938237,0.4818603270764233
learning_progress,0.5,0.16666666666666666,0.6753880388879103,1.6673333333333333,0.3334666666666667,0.44995466100585857,0.5044273527772885
learning_progress,0.5,0.3333333333333333,0.6876879514390143,1.7853333333333334,0.3570666666666667,0.45565028090872406,0.5223773090528405
learning_progress,0.5,0.5,0.7084409633343257,2.176,0.43520000000000003,0.45963948633404306,0.5718204816671628
learning_progress,0.5,0.6666666666666666,0.7316026870621577,2.4073333333333333,0.48146666666666665,0.46957847539061626,0.6065346768644122
learning_progress,0.5,0.8333333333333333,0.7806908063891175,3.078,0.6155999999999999,0.48400115124246834,0.6981454031945586
learning_progress,0.5,1.0,0.8440099963382051,3.636,0.7272000000000001,0.5188733162396103,0.7856049981691026
learning_progress,0.6666666666666666,0.0,0.5261644767995105,1.6633333333333333,0.33266666666666667,0.34793889848798015,0.4294155717330886
learning_progress,0.6666666666666666,0.16666666666666666,0.556674301755254,2.0166666666666666,0.4033333333333333,0.3536831670858462,0.48000381754429366
learning_progress,0.6666666666666666,0.3333333333333333,0.5730543895380007,2.248,0.44960000000000006,0.3586622517681576,0.5113271947690003
learning_progress,0.6666666666666666,0.5,0.6032353307745462,2.5613333333333332,0.5122666666666666,0.3689282390955079,0.5577509987206064
learning_progress,0.6666666666666666,0.6666666666666666,0.6377925347073836,2.9226666666666667,0.5845333333333333,0.38456746526351926,0.6111629340203585
learning_progress,0.6666666666666666,0.8333333333333333,0.7020758837394014,3.5573333333333332,0.7114666666666667,0.4058835022365432,0.7067712752030341
learning_progress,0.6666666666666666,1.0,0.7930654371492085,4.453333333333333,0.8906666666666666,0.4496809905395019,0.8418660519079375
learning_progress,0.8333333333333333,0.0,0.3697307998251519,1.8513333333333333,0.37026666666666663,0.23302525201390992,0.36999873324590926
learning_progress,0.8333333333333333,0.16666666666666666,0.43252586942423765,2.509333333333333,0.5018666666666667,0.2442046365704466,0.46719626804545217
learning_progress,0.8333333333333333,0.3333333333333333,0.4399078053751676,2.6633333333333336,0.5326666666666667,0.2506907652190174,0.48628723602091717
learning_progress,0.8333333333333333,0.5,0.4759685035172307,2.8253333333333335,0.5650666666666667,0.2678328263359672,0.5205175850919487
learning_progress,0.8333333333333333,0.6666666666666666,0.5424364976360813,3.6193333333333335,0.7238666666666667,0.2838452518966451,0.633151582151374
learning_progress,0.8333333333333333,0.8333333333333333,0.6257401036875219,3.9193333333333333,0.7838666666666667,0.32108359388487073,0.7048033851770943
learning_progress,0.8333333333333333,1.0,0.7532762888947948,4.892666666666667,0.9785333333333334,0.3865853689370964,0.8659048111140641
learning_progress,1.0,0.0,0.20640367641600396,2.0,0.4,0.1144654052911916,0.303201838208002
learning_progress,1.0,0.16666666666666666,0.2890511974952523,3.0,0.6,0.12279935965674425,0.44452559874762615
learning_progress,1.0,0.3333333333333333,0.3197980813714304,3.0,0.6,0.1379903835821017,0.4598990406857152
learning_progress,1.0,0.5,0.3197980813714304,3.0,0.6,0.1536153835821017,0.4598990406857152
learning_progress,1.0,0.6666666666666666,0.4411236695916782,4.0,0.8,0.18402613678885688,0.6205618347958392
learning_progress,1.0,0.8333333333333333,0.5998692223006286,5.0,1.0,0.23601928260710325,0.7999346111503143
learning_progress,1.0,1.0,0.6984896740391742,5.0,1.0,0.3275250502128243,0.8492448370195871
novelty,0.0,0.0,1.0,1.0,0.2,1.0,0.6
novelty,0.0,0.16666666666666666,1.0,1.0,0.2,1.0,0.6
novelty,0.0,0.3333333333333333,1.0,1.0,0.2,1.0,0.6
novelty,0.0,0.5,1.0,1.0,0.2,1.0,0.6
novelty,0.0,0.6666666666666666,1.0,1.0,0.2,1.0,0.6
novelty,0.0,0.8333333333333333,1.0,1.0,0.2,1.0,0.6
novelty,0.0,1.0,1.0,1.0,0.2,1.0,0.6
novelty,0.16666666666666666,0.0,0.9080300509438497,1.3473333333333333,0.26946666666666663,0.8953738009438497,0.5887483588052582
novelty,0.16666666666666666,0.16666666666666666,0.921757227818858,1.5313333333333334,0.3062666666666667,0.901874415318858,0.6140119472427623
novelty,0.16666666666666666,0.3333333333333333,0.9280539631206172,1.6226666666666667,0.32453333333333334,0.9051581297872838,0.6262936482269752
novelty,0.16666666666666666,0.5,0.9411489800539211,1.8026666666666666,0.3605333333333333,0.9136099175539212,0.6508411566936272
novelty,0.16666666666666666,0.6666666666666666,0.9691933526233106,2.3446666666666665,0.4689333333333333,0.9246725192899773,0.719063342978322
novelty,0.16666666666666666,0.8333333333333333,0.9971130980137265,2.800666666666667,0.5601333333333334,0.9563084105137265,0.77862321567353
novelty,0.16666666666666666,1.0,0.999526379585773,2.81,0.562,0.999526379585773,0.7807631897928865
novelty,0.3333333333333333,0.0,0.8191615597572564,1.7473333333333334,0.3494666666666667,0.7905209347572564,0.5843141132119616
novelty,0.3333333333333333,0.16666666666666666,0.8316468148051374,2.016,0.4032,0.7915817106384707,0.6174234074025686
novelty,0.3333333333333333,0.3333333333333333,0.8553012771023923,2.342,0.46840000000000004,0.8037179437690589,0.6618506385511962
novelty,0.3333333333333333,0.5,0.879631526681211,2.752666666666667,0.5505333333333333,0.817404964181211,0.7150824300072722
novelty,0.3333333333333333,0.6666666666666666,0.9367571127661247,3.5693333333333332,0.7138666666666666,0.8512571127661248,0.8253118897163957
novelty,0.3333333333333333,0.8333333333333333,0.9816404234946697,4.156666666666666,0.8313333333333333,0.9090883401613364,0.9064868784140014
novelty,0.3333333333333333,1.0,0.9890980795288045,4.176,0.8352,0.9890980795288045,0.9121490397644023
novelty,0.5,0.0,0.7175636973723255,2.2653333333333334,0.4530666666666667,0.6648761973723256,0.5853151820194961
novelty,0.5,0.16666666666666666,0.7398122140082484,2.5953333333333335,0.5190666666666667,0.674760130674915,0.6294394403374575
novelty,0.5,0.3333333333333333,0.7809079005838587,3.0886666666666667,0.6177333333333334,0.6938245672505254,0.699320616958596
novelty,0.5,0.5,0.8252096417729435,3.7106666666666666,0.7421333333333333,0.7198033917729435,0.7836714875531384
novelty,0.5,0.6666666666666666,0.894960944161626,4.498666666666667,0.8997333333333334,0.7696536524949592,0.8973471387474796
novelty,0.5,0.8333333333333333,0.9498649712147523,4.85,0.97,0.8463024712147523,0.9599324856073761
novelty,0.5,1.0,0.95670490062852,4.828,0.9656,0.95670490062852,0.96115245031426
novelty,0.6666666666666666,0.0,0.6214080259309089,2.9246666666666665,0.5849333333333333,0.5352986509309089,0.6031706796321211
novelty,0.6666666666666666,0.16666666666666666,0.6509337591452767,3.219333333333333,0.6438666666666666,0.5535509466452768,0.6474002129059717
novelty,0.6666666666666666,0.3333333333333333,0.7025839046004648,3.832,0.7664,0.5764380712671315,0.7344919523002325
novelty,0.6666666666666666,0.5,0.7776999440775538,4.566,0.9132,0.6206686940775538,0.8454499720387769
novelty,0.6666666666666666,0.6666666666666666,0.8420632710587085,4.926,0.9852000000000001,0.6871153543920419,0.9136316355293543
novelty,0.6666666666666666,0.8333333333333333,0.890829699707117,4.989333333333334,0.9978666666666667,0.7778557413737835,0.9443481831868918
novelty,0.6666666666666666,1.0,0.8947587851779868,4.986,0.9972,0.8947587851779868,0.9459793925889934
novelty,0.8333333333333333,0.0,0.5272923538740584,3.6486666666666667,0.7297333333333333,0.38626110387405826,0.6285128436036959
novelty,0.8333333333333333,0.16666666666666666,0.5479779205441795,3.740666666666667,0.7481333333333333,0.41680604554417944,0.6480556269387564
novelty,0.8333333333333333,0.3333333333333333,0.6365717005678422,4.6146666666666665,0.9229333333333333,0.4530196172345089,0.7797525169505877
novelty,0.8333333333333333,0.5,0.7261463774267186,4.932666666666667,0.9865333333333334,0.5133260649267187,0.856339855380026
novelty,0.8333333333333333,0.6666666666666666,0.7713313187176973,4.997333333333334,0.9994666666666667,0.591779235384364,0.885398992692182
novelty,0.8333333333333333,0.8333333333333333,0.8087959664947951,5.0,1.0,0.6945615914947951,0.9043979832473976
novelty,0.8333333333333333,1.0,0.8128638204809203,5.0,1.0,0.8128638204809203,0.9064319102404601
novelty,1.0,0.0,0.4024456024506788,4.0,0.8,0.2383831024506787,0.6012228012253394
novelty,1.0,0.16666666666666666,0.48509312352992684,5.0,1.0,0.27024937352992706,0.7425465617649634
novelty,1.0,0.3333333333333333,0.5723816587807428,5.0,1.0,0.3223816587807428,0.7861908293903714
novelty,1.0,0.5,0.6334306982501341,5.0,1.0,0.3990556982501342,0.816715349125067
novelty,1.0,0.6666666666666666,0.6768880243873622,5.0,1.0,0.48938802438736223,0.8384440121936811
novelty,1.0,0.8333333333333333,0.7032089999249609,5.0,1.0,0.5938339999249609,0.8516044999624804
novelty,1.0,1.0,0.7072709613582071,5.0,1.0,0.7072709613582071,0.8536354806791036
