condition,algorithm,example,ecology,constraint,k,time_budget,money_budget,n_sims,ecological_richness_mean,ecological_richness_sd,feasible_richness_mean,feasible_richness_sd,experienced_richness_mean,experienced_richness_sd,unexplored_options_mean,unexplored_options_sd,unaffordable_options_mean,unaffordable_options_sd,conversion_feasible_ecological_mean,conversion_feasible_ecological_sd,conversion_experienced_feasible_mean,conversion_experienced_feasible_sd,conversion_experienced_ecological_mean,conversion_experienced_ecological_sd,choice_entropy_mean,choice_entropy_sd,entropy_over_feasible_max_mean,entropy_over_feasible_max_sd,entropy_over_ecological_max_mean,entropy_over_ecological_max_sd,explore_prop_mean,explore_prop_sd,switching_rate_mean,switching_rate_sd,top_arm_concentration_mean,top_arm_concentration_sd,avg_reward_mean,avg_reward_sd,avg_feasible_time_cost_mean,avg_feasible_time_cost_sd,avg_feasible_money_cost_mean,avg_feasible_money_cost_sd
big_city,egreedy_0.1,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,19.74,3.748653091444979,17.99,3.1733105741480774,82.01,3.1733105741480774,80.26,3.748653091444979,0.1974,0.03748653091444979,0.9225646606306452,0.11906297869376678,0.1799,0.03173310574148077,0.538313102886589,0.10215027621038346,0.18075551047168362,0.027445597625726365,0.1168932050599315,0.022181650641531273,0.08995,0.015866552870740385,0.16190954773869345,0.030105325911139943,0.91345,0.01693657285285308,0.89925,0.020765054779605097,0.22329166883487944,0.01847363251669922,0.22274683161479675,0.018641847684316808
big_city,egreedy_0.5,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,19.43,4.106714014878563,19.43,4.106714014878563,80.57,4.106714014878563,80.57,4.106714014878563,0.1943,0.041067140148785625,1.0,0.0,0.1943,0.041067140148785625,0.6099422244201279,0.13617981547845207,0.20548747702294046,0.03465990452761368,0.1324472711727282,0.029571071204447383,0.09715,0.020533570074392812,0.1407035175879397,0.03140603013467285,0.89945,0.025708899237423616,0.9015,0.019576771950451904,0.2274848129841251,0.019089000578732283,0.22660882715552275,0.01851382848650561
big_city,egreedy_0.9,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,19.19,3.974153998022724,19.19,3.974153998022724,80.81,3.974153998022724,80.81,3.974153998022724,0.19190000000000002,0.03974153998022724,1.0,0.0,0.19190000000000002,0.03974153998022724,0.5795151175213877,0.12939378835248153,0.19549778830719433,0.03062519930441475,0.12584010885952657,0.02809750413701999,0.09595000000000001,0.01987076999011362,0.10522613065326633,0.023567999913735576,0.90655,0.021479001373434475,0.8993,0.019950187969039305,0.22670392770504436,0.01782022663279822,0.2255903496355399,0.018235203289165995
big_city,thompson,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,19.04,3.6957272626642785,18.76,3.5919910913029836,81.24,3.5919910913029836,80.96,3.6957272626642785,0.1904,0.036957272626642786,0.9864433920284708,0.029164302389908255,0.1876,0.03591991091302983,2.530847298465231,0.25442831342468414,0.8639678872592687,0.04730651444275468,0.5495665081316009,0.05524840628014568,0.0938,0.017959955456514916,0.8498994974874372,0.05012877032002313,0.19755,0.06282712391953017,0.8963,0.022086421167767326,0.22692332891838052,0.016816822382066287,0.227471519073948,0.01536329059477816
big_city,ucb,big city,rich,low_time_high_cost,100,0.35,0.35,100,100.0,0.0,18.52,3.8274795884498194,18.52,3.8274795884498194,81.48,3.8274795884498194,81.48,3.8274795884498194,0.1852,0.0382747958844982,1.0,0.0,0.1852,0.0382747958844982,2.883829004270122,0.21668189969812812,0.99560593754016,0.001963003026638119,0.6262155116535315,0.047051876683605456,0.0926,0.0191373979422491,0.9985427135678392,0.0025912307707243805,0.0695,0.01778341924377874,0.89945,0.02280235733427578,0.22661672880501138,0.01919910051943773,0.22568002536227705,0.01735675739098587
constrained_rural,egreedy_0.1,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,1.94,1.0278132126023678,1.94,1.0278132126023678,8.06,1.0278132126023678,8.06,1.0278132126023678,0.194,0.10278132126023677,1.0,0.0,0.194,0.10278132126023677,0.031766165849439955,0.03502949017594172,0.033499586116862504,0.033807568046860526,0.013795870539635295,0.01521311428729566,0.0097,0.005139066063011839,0.008994974874371859,0.010007320368008403,0.9948,0.0059966657402259855,0.90045,0.020038650154139633,0.24899678213068882,0.07078874268031837,0.2502123147525233,0.0712581541136149
constrained_rural,egreedy_0.5,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,1.87,1.0738249391777042,1.87,1.0738249391777042,8.13,1.0738249391777042,8.13,1.0738249391777042,0.187,0.10738249391777041,1.0,0.0,0.187,0.10738249391777041,0.03747260686080001,0.05573525753671097,0.037960752699163595,0.05400141475221212,0.01627414638217538,0.0242055147956502,0.00935,0.005369124695888521,0.007437185929648241,0.009169442997352397,0.9931,0.012037026210821342,0.8994,0.02160185177247545,0.2531663227142755,0.08628775930788261,0.25252221978978484,0.08231322228431212
constrained_rural,egreedy_0.9,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,2.06,1.1029052543169788,2.06,1.1029052543169788,7.94,1.1029052543169788,7.94,1.1029052543169788,0.20600000000000002,0.11029052543169789,1.0,0.0,0.20600000000000002,0.11029052543169789,0.041764904975727005,0.04509411090616892,0.043509883446401464,0.046479286853000484,0.0181382677681719,0.019584123532882407,0.0103,0.005514526271584895,0.00798994974874372,0.00794843994334049,0.99275,0.008699856320652665,0.90005,0.018674782461919084,0.2404541361748843,0.08520643424757546,0.2357697914457429,0.08380000057215405
constrained_rural,thompson,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,2.0,1.1224972160321824,2.0,1.1224972160321824,8.0,1.1224972160321824,8.0,1.1224972160321824,0.2,0.11224972160321824,1.0,0.0,0.2,0.11224972160321824,0.3679653268034109,0.39508969394579196,0.37281888368552,0.36417670749281145,0.15980531096244804,0.17158527393750203,0.01,0.0056124860801609125,0.18477386934673368,0.20290291817065276,0.84225,0.18256283164981857,0.9006500000000001,0.020683991394312668,0.24570353101943987,0.07394511798352406,0.2569932587686156,0.07562228351156387
constrained_rural,ucb,constrained rural / isolated work life,poor,low_time_high_cost,10,0.35,0.35,100,10.0,0.0,1.87,1.055035544424926,1.87,1.055035544424926,8.13,1.055035544424926,8.13,1.055035544424926,0.187,0.1055035544424926,1.0,0.0,0.187,0.1055035544424926,0.48130606694701883,0.5078717911393461,0.5141988249511433,0.4941083715499117,0.20902856898164734,0.2205659164061388,0.00935,0.00527517772212463,0.3691959798994975,0.3751514294054804,0.71935,0.28081101741206665,0.9027000000000001,0.021370774436131234,0.23872703936946035,0.08509146880056173,0.23701967646257405,0.08507561502508913
ideal_city,egreedy_0.1,ideal city / campus,rich,high_time_low_cost,100,0.8,0.8,100,100.0,0.0,99.9,0.3,21.95,4.416729559300637,78.05,4.416729559300637,0.1,0.3,0.999,0.0030000000000000027,0.21975656565656565,0.044411981015816095,0.2195,0.04416729559300637,0.6631673792337417,0.1447322249514838,0.14404191314528417,0.03146391189331708,0.14400496668972756,0.031428203325004775,0.10975,0.022083647796503184,0.19748743718592965,0.0399647580919268,0.89305,0.024442739208198425,0.9012,0.021037110067687534,0.2516344255088669,0.015353768114493498,0.2507226644138567,0.014793748084118149
ideal_city,egreedy_0.5,ideal city / campus,rich,high_time_low_cost,100,0.8,0.8,100,100.0,0.0,99.88,0.32496153618543844,97.31,4.061268274812685,2.69,4.061268274812685,0.12,0.32496153618543844,0.9988,0.003249615361854387,0.974279797979798,0.04078990408017542,0.9731,0.04061268274812685,2.9088921651817543,0.12477630825805637,0.6318231387335933,0.027091179481118315,0.6316579078950191,0.027094831074366523,0.48655,0.020306341374063425,0.7242713567839196,0.027730817831787023,0.5135,0.02527350391220022,0.8984,0.021516040527941017,0.25223129706772873,0.013864914673926075,0.2524344715569028,0.014410326899366596
ideal_city,egreedy_0.9,ideal city / campus,rich,high_time_low_cost,100,0.8,0.8,100,100.0,0.0,99.86,0.3746998799039039,99.86,0.3746998799039039,0.14,0.3746998799039039,0.14,0.3746998799039039,0.9986,0.003746998799039042,1.0,0.0,0.9986,0.003746998799039042,2.9834289963303515,0.04708614015552918,0.6480402609739112,0.01013450795475327,0.6478433751282143,0.010224625421834716,0.4993,0.001873499399519521,0.5503015075376885,0.016383682118856036,0.50025,0.013881192311901745,0.898,0.01841195263952198,0.25012638806872245,0.015320793514373772,0.25038792642810564,0.015599896379846817
ideal_city,thompson,ideal city / campus,rich,high_time_low_cost,100,0.8,0.8,100,100.0,0.0,99.81,0.3923009049186606,71.36,3.14807877919216,28.64,3.14807877919216,0.19,0.3923009049186606,0.9981,0.0039230090491866095,0.7149676767676768,0.03161785705590549,0.7136,0.0314807877919216,4.011121805178067,0.06116736769515587,0.8713670732441628,0.013379185167069364,0.8710040331153222,0.013282325131276708,0.3568,0.0157403938959608,0.9797989949748743,0.010199395867833846,0.0592,0.013280060240827223,0.9025,0.019241881404893857,0.24973759842960588,0.01467897477165098,0.2503068111929682,0.01444008707728614
ideal_city,ucb,ideal city / campus,rich,high_time_low_cost,100,0.8,0.8,100,100.0,0.0,99.81,0.41701318923986086,99.81,0.41701318923986086,0.19,0.41701318923986086,0.19,0.41701318923986086,0.9981,0.004170131892398612,1.0,0.0,0.9981,0.004170131892398612,4.602859034871874,0.005072528935729932,0.9999128078691738,0.00019094463353317174,0.999498139911691,0.0011014856630410764,0.49905,0.002085065946199306,0.999748743718593,0.0010952007395830885,0.0109,0.0019209372712298543,0.9006500000000001,0.023639532567290764,0.2533327964248927,0.01567295013347125,0.2544180183097968,0.014772332536845878
small_town,egreedy_0.1,small town,poor,high_time_low_cost,10,0.8,0.8,100,10.0,0.0,9.99,0.099498743710662,9.99,0.099498743710662,0.01,0.099498743710662,0.01,0.099498743710662,0.999,0.009949874371066198,1.0,0.0,0.999,0.009949874371066198,0.29129806760478516,0.036267730076671126,0.126561439796646,0.015701460139622245,0.1265091433498386,0.015750875043454866,0.04995,0.0004974937185533104,0.085678391959799,0.005789808352664782,0.95275,0.009653367288153901,0.89785,0.021157209173234555,0.24984137769196996,0.04853353721551615,0.2491095782468861,0.045194457574212095
small_town,egreedy_0.5,small town,poor,high_time_low_cost,10,0.8,0.8,100,10.0,0.0,9.99,0.099498743710662,9.99,0.099498743710662,0.01,0.099498743710662,0.01,0.099498743710662,0.999,0.009949874371066198,1.0,0.0,0.999,0.009949874371066198,0.3048229204773474,0.04530242243660887,0.13243520876775314,0.01961940378668471,0.1323829123209457,0.0196745920810693,0.04995,0.0004974937185533104,0.06904522613065327,0.0068023201041277235,0.9498,0.011334019587066172,0.8978,0.02373099239391392,0.25550538036407183,0.04584923246890351,0.2562409216732851,0.04642875996313171
small_town,egreedy_0.9,small town,poor,high_time_low_cost,10,0.8,0.8,100,10.0,0.0,9.98,0.14,9.98,0.14,0.02,0.14,0.02,0.14,0.998,0.013999999999999997,1.0,0.0,0.998,0.013999999999999997,0.3063209648400542,0.047857821331245456,0.13313809761493042,0.020676365037286835,0.13303350472131556,0.020784387720071632,0.0499,0.0007000000000000006,0.05532663316582915,0.005099697933916922,0.9492999999999999,0.01243020514714056,0.8995500000000001,0.021576549770526345,0.2508808752709728,0.04780709600169256,0.24578205900088662,0.04829372568135058
small_town,thompson,small town,poor,high_time_low_cost,10,0.8,0.8,100,10.0,0.0,10.0,0.0,9.98,0.14,0.02,0.14,0.0,0.0,1.0,0.0,0.998,0.013999999999999997,0.998,0.013999999999999997,1.9216447428185146,0.16073624015589089,0.8345597079844743,0.06980686214157929,0.8345597079844743,0.06980686214157929,0.0499,0.0007000000000000006,0.749145728643216,0.06442626535885182,0.2967,0.0838636393200295,0.9015500000000001,0.019983680842127167,0.2638139777102169,0.05461175055322601,0.26576145891009234,0.05353774469260363
small_town,ucb,small town,poor,high_time_low_cost,10,0.8,0.8,100,10.0,0.0,9.99,0.099498743710662,9.99,0.099498743710662,0.01,0.099498743710662,0.01,0.099498743710662,0.999,0.009949874371066198,1.0,0.0,0.999,0.009949874371066198,2.2867945140694386,0.013972469930372376,0.9935940961769633,0.0033326300407252223,0.9931422387069853,0.006068166589319838,0.04995,0.0004974937185533104,0.9962814070351759,0.0032270541423120385,0.12475,0.009496709956611291,0.89695,0.025068855179285726,0.24994574448287707,0.05347453690179016,0.2456101624631829,0.05037510881254248
